rank,listed_at,type,title,year,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,runtime,season_number,season_trakt_id,season_tmdb_id,season_tvdb_id,episode_number,episode_title,episode_released,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres
1,2019-07-07T15:39:00Z,movie,Spider-Man: Far from Home,2019,273537,tt6320628,429617,,https://trakt.tv/movies/spider-man-far-from-home-2019,2019-07-02,129,,,,,,,,,,,,"action,adventure,science-fiction,superhero"
2,2019-07-07T15:37:47Z,movie,Shaft,2019,333115,tt4463894,486131,,https://trakt.tv/movies/shaft-2019,2019-06-14,111,,,,,,,,,,,,"action,crime,comedy"
3,2019-07-07T15:39:11Z,movie,Captain Marvel,2019,193963,tt4154664,299537,,https://trakt.tv/movies/captain-marvel-2019,2019-03-08,124,,,,,,,,,,,,"science-fiction,action,adventure,superhero"
4,2019-07-07T15:32:13Z,movie,Avengers: Endgame,2019,191798,tt4154796,299534,,https://trakt.tv/movies/avengers-endgame-2019,2019-04-26,181,,,,,,,,,,,,"action,adventure,science-fiction,superhero"
5,2019-07-07T15:39:04Z,movie,Rocketman,2019,352153,tt2066051,504608,,https://trakt.tv/movies/rocketman-2019,2019-05-31,121,,,,,,,,,,,,"music,drama,musical"
6,2019-07-07T15:32:15Z,movie,Aladdin,2019,276911,tt6139732,420817,,https://trakt.tv/movies/aladdin-2019,2019-05-24,130,,,,,,,,,,,,"romance,adventure,fantasy,comedy,family"
7,2019-07-07T15:37:55Z,movie,Avengers: Infinity War,2018,191797,tt4154756,299536,,https://trakt.tv/movies/avengers-infinity-war-2018,2018-04-27,149,,,,,,,,,,,,"action,adventure,superhero,fantasy"
8,2019-07-07T15:32:20Z,movie,Men in Black: International,2019,326808,tt2283336,479455,,https://trakt.tv/movies/men-in-black-international-2019,2019-06-14,115,,,,,,,,,,,,"action,comedy,science-fiction,adventure"
9,2019-07-07T15:39:12Z,movie,Murder Mystery,2019,363355,tt1618434,514999,,https://trakt.tv/movies/murder-mystery-2019,2019-06-14,97,,,,,,,,,,,,"comedy,crime,mystery,action"
10,2019-07-07T15:38:06Z,movie,Harry Potter and the Chamber of Secrets,2002,546,tt0295297,672,,https://trakt.tv/movies/harry-potter-and-the-chamber-of-secrets-2002,2002-11-15,161,,,,,,,,,,,,"adventure,fantasy,family"
11,2019-07-07T15:39:22Z,movie,Venom,2018,216715,tt1270797,335983,,https://trakt.tv/movies/venom-2018,2018-10-05,112,,,,,,,,,,,,"science-fiction,superhero,action"
12,2019-07-07T15:39:24Z,movie,Aquaman,2018,193968,tt1477834,297802,,https://trakt.tv/movies/aquaman-2018,2018-12-21,144,,,,,,,,,,,,"fantasy,superhero,adventure,action"
13,2019-07-07T15:39:50Z,movie,Harry Potter and the Philosopher's Stone,2001,545,tt0241527,671,,https://trakt.tv/movies/harry-potter-and-the-philosopher-s-stone-2001,2001-11-16,152,,,,,,,,,,,,"adventure,fantasy,family"
14,2019-07-07T15:32:52Z,movie,Harry Potter and the Prisoner of Azkaban,2004,547,tt0304141,673,,https://trakt.tv/movies/harry-potter-and-the-prisoner-of-azkaban-2004,2004-06-04,141,,,,,,,,,,,,"adventure,fantasy,family"
15,2019-07-07T15:38:29Z,movie,Harry Potter and the Deathly Hallows: Part 2,2011,7229,tt1201607,12445,,https://trakt.tv/movies/harry-potter-and-the-deathly-hallows-part-2-2011,2011-07-15,130,,,,,,,,,,,,"adventure,fantasy,family"
16,2019-07-07T15:39:43Z,movie,Harry Potter and the Goblet of Fire,2005,548,tt0330373,674,,https://trakt.tv/movies/harry-potter-and-the-goblet-of-fire-2005,2005-11-18,157,,,,,,,,,,,,"adventure,fantasy,family"
17,2019-07-07T15:39:54Z,movie,Harry Potter and the Order of the Phoenix,2007,549,tt0373889,675,,https://trakt.tv/movies/harry-potter-and-the-order-of-the-phoenix-2007,2007-07-11,138,,,,,,,,,,,,"adventure,fantasy,mystery,family"
18,2019-07-07T15:39:47Z,movie,Harry Potter and the Half-Blood Prince,2009,610,tt0417741,767,,https://trakt.tv/movies/harry-potter-and-the-half-blood-prince-2009,2009-07-08,153,,,,,,,,,,,,"adventure,fantasy,family"
19,2019-07-07T15:39:51Z,movie,Harry Potter and the Deathly Hallows: Part 1,2010,7228,tt0926084,12444,,https://trakt.tv/movies/harry-potter-and-the-deathly-hallows-part-1-2010,2010-11-19,146,,,,,,,,,,,,"adventure,fantasy,family"
20,2019-07-07T15:33:32Z,movie,Deadpool,2016,190430,tt1431045,293660,,https://trakt.tv/movies/deadpool-2016,2016-02-12,108,,,,,,,,,,,,"action,adventure,comedy,superhero"
21,2019-07-07T15:40:23Z,movie,Guardians of the Galaxy,2014,82405,tt2015381,118340,,https://trakt.tv/movies/guardians-of-the-galaxy-2014,2014-08-01,121,,,,,,,,,,,,"adventure,science-fiction,action"
22,2019-07-07T15:40:27Z,movie,The Dark Knight,2008,120,tt0468569,155,,https://trakt.tv/movies/the-dark-knight-2008,2008-07-18,152,,,,,,,,,,,,"action,crime,drama,thriller,superhero"
23,2019-07-07T15:40:36Z,movie,Inception,2010,16662,tt1375666,27205,,https://trakt.tv/movies/inception-2010,2010-07-16,148,,,,,,,,,,,,"action,adventure,science-fiction"
24,2019-07-07T15:40:29Z,movie,Logan,2017,161972,tt3315342,263115,,https://trakt.tv/movies/logan-2017,2017-03-03,137,,,,,,,,,,,,"action,science-fiction,drama,superhero"
25,2019-07-07T15:40:28Z,movie,Doctor Strange,2016,181311,tt1211837,284052,,https://trakt.tv/movies/doctor-strange-2016,2016-11-04,115,,,,,,,,,,,,"action,adventure,science-fiction,fantasy,superhero"
26,2019-07-07T15:40:32Z,movie,The Avengers,2012,14701,tt0848228,24428,,https://trakt.tv/movies/the-avengers-2012,2012-05-04,143,,,,,,,,,,,,"action,adventure,science-fiction,superhero"
27,2019-07-07T15:40:41Z,movie,Interstellar,2014,102156,tt0816692,157336,,https://trakt.tv/movies/interstellar-2014,2014-11-07,169,,,,,,,,,,,,"science-fiction,drama,adventure"
28,2019-07-07T15:40:35Z,movie,Wonder Woman,2017,192487,tt0451279,297762,,https://trakt.tv/movies/wonder-woman-2017,2017-06-02,141,,,,,,,,,,,,"adventure,superhero,fantasy,action"
29,2019-07-07T15:40:37Z,movie,The Matrix,1999,481,tt0133093,603,,https://trakt.tv/movies/the-matrix-1999,1999-03-30,136,,,,,,,,,,,,"action,science-fiction"
30,2019-07-07T15:40:38Z,movie,Captain America: Civil War,2016,169105,tt3498820,271110,,https://trakt.tv/movies/captain-america-civil-war-2016,2016-05-06,147,,,,,,,,,,,,"action,science-fiction,adventure,superhero"
31,2019-07-07T15:40:37Z,movie,Suicide Squad,2016,193079,tt1386697,297761,,https://trakt.tv/movies/suicide-squad-2016,2016-08-05,123,,,,,,,,,,,,"action,crime,fantasy,science-fiction,superhero,adventure"
32,2019-07-07T15:40:38Z,movie,Star Wars: The Force Awakens,2015,94024,tt2488496,140607,,https://trakt.tv/movies/star-wars-the-force-awakens-2015,2015-12-18,136,,,,,,,,,,,,"action,adventure,fantasy,science-fiction"
33,2019-07-07T15:40:40Z,movie,Guardians of the Galaxy Vol. 2,2017,181256,tt3896198,283995,,https://trakt.tv/movies/guardians-of-the-galaxy-vol-2-2017,2017-05-05,137,,,,,,,,,,,,"action,adventure,science-fiction,comedy,superhero"
34,2019-07-07T15:40:41Z,movie,Avatar,2009,12269,tt0499549,19995,,https://trakt.tv/movies/avatar-2009,2009-12-18,162,,,,,,,,,,,,"action,adventure,fantasy,science-fiction"
35,2019-07-07T15:40:44Z,movie,Iron Man,2008,1157,tt0371746,1726,,https://trakt.tv/movies/iron-man-2008,2008-05-02,126,,,,,,,,,,,,"action,adventure,science-fiction,superhero"
